t,I
0.0001, -374642378
0.0003, -366915062
0.0006, -356190724
0.001, -339409136
0.0011, -338338681
0.0015, -325589414
0.002, -306113488
0.0026, -287143590
0.0033, -267328848
0.004, -244190143
0.005, -216193869
0.0065, -174433327
0.008, -135319301
0.011, -67435959
0.015, 12052253
0.02, 93050537
0.026, 167209689
0.033, 231903437
0.04, 281946750
0.05, 328717193
0.065, 369276412
0.08, 390143807
0.11, 407962578
0.14, 414477423
0.18, 413446155
0.23, 416371708
0.29, 416306034
0.36, 416279819
0.44, 419752616
0.66, 418705406
